コンデションID,コンディション名称,固定表示位置,固定表示値,固定値標題,備考,登録担当者,登録日付,更新担当者,更新時間
"COD_TYUSYUTU_ZYOUKEN_KBN02","抽出条件区分02","0","","","","fsol09","2011/03/23 17:56:18","fsol09","2011/03/23 17:56:18"
"COD_AITESAKI_KBN01","相手先区分01","1"," "," ","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:16:50"
"COD_AITESAKI_KBN02","相手先区分02","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:17:21"
"COD_AKIKOUZA_SRH_KBN01","空き口座検索区分01","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_ALL_OUT_KBN01","全出力区分01","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_ANZEN_SETTI_KBN01","安全設置区分01","0","","","","fsol14","2010/08/03 10:17:20","fsol14","2010/08/03 10:17:20"
"COD_ANZEN_SETTI_KBN02","安全設置区分02","0","","","","fsol05","2009/09/03 12:50:26","fsol14","2009/12/02 14:17:42"
"COD_BAIKA_SETTEI_KBN01","売価設定区分01","1"," "," ","","lpa00","2008/07/08 10:55:25","fsol14","2009/12/02 14:17:54"
"COD_BUHIN_SYURUI_CD01","部品種類コード01","1"," ","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:18:05"
"COD_BUSYO_KBN01","部署区分01","1"," ","","","fsol07","2009/10/19 09:04:20","fsol14","2009/12/02 14:18:15"
"COD_CALC_ZYOUKEN_KBN01","計算条件区分01","0","","","","fsol07","2011/02/17 11:08:53","fsol07","2011/02/17 11:08:53"
"COD_CARD_HENKIN_KBN01","カード返金区分01","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_CHAIN_KBN01","チェーン区分01","0","","","","fsol07","2011/01/26 13:44:42","fsol07","2011/01/26 13:45:08"
"COD_CHANNEL_BUNRUI01","チャネル分類01","1"," "," ","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:59:59"
"COD_CHANNEL_BUNRUI02","チャネル分類02","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_CHANNEL_KBN01","チャネル区分01","1"," "," ","","lpa01","2008/05/01 18:37:49","fsol14","2009/12/02 14:18:23"
"COD_CHANNEL_KBN02","チャネル区分02","1"," "," ","","lpa00","2008/07/08 11:10:05","fsol14","2009/12/02 14:39:49"
"COD_CHANNEL_KBN03","チャネル区分03","1"," ","全て","","lpa02","2008/12/19 18:33:58","fsol14","2009/12/02 14:39:57"
"COD_CHANNEL_KBN04","チャネル区分04","1"," "," ","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:40:06"
"COD_CHECK_KBN01","チェック区分01","0","","","","lpa04","2009/10/06 15:51:47","fsol14","2009/12/02 14:40:16"
"COD_COMMON_KBN","共通区分","0","","","","base02","2009/01/22 22:21:11","base10","2009/01/23 10:52:47"
"COD_CS_BARA_KBN01","ケース／バラ区分01","0","","","","lpa01","2008/08/18 20:28:02","fsol14","2009/12/02 14:41:20"
"COD_CS_HATARI_KBN01","ケース本当り区分01","0","","","","fsol07","2011/02/17 11:12:31","fsol07","2011/02/17 11:12:31"
"COD_DAIKOU_DATA_KBN01","代行管理データ連携区分01","0","","","","sis05","2008/07/10 14:03:35","fsol14","2009/12/02 14:41:31"
"COD_DAIKOU_REC_KBN01","代行管理レコード区分01","0","","","","sis05","2008/07/10 15:14:42","fsol14","2009/12/02 14:41:39"
"COD_DAIKOU_TOUROKU_KBN01","代行管理データ登録区分01","0","","","","sis05","2008/07/04 11:10:15","fsol14","2009/12/02 14:43:24"
"COD_DEL_KBN01","削除区分01","0","","","","lpa00","2008/07/11 13:00:14","fsol14","2009/12/02 14:43:51"
"COD_DENPYOU_HAKKOU_KBN01","伝票発行区分01","0","","","","lpa01","2008/08/18 20:26:07","fsol14","2009/12/02 14:44:00"
"COD_EIGYOUKEN_KBN01","営業権区分01","1"," "," ","","lpa00","2008/07/08 11:18:38","fsol14","2009/12/02 14:44:24"
"COD_END_KBN01","終了区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:11:24"
"COD_FO_AZUKARI_KANRI_KBN01","フルオペ預り金管理区分01","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_FO_AZUKARI_OUT_KBN01","フルオペ預り金管理票出力区分01","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_FO_SINSEI_KBN01","申請区分01","0","","","","base08","2008/12/11 11:12:03","fsol14","2009/12/02 14:44:45"
"COD_FO_SINSEI_KBN02","申請区分02","0","","","","sis05","2008/07/10 14:46:42","fsol14","2009/12/02 14:44:54"
"COD_FO_SINSEI_KBN03","申請区分03","0","","","","lpa00","2011/03/09 15:13:08","lpa00","2011/03/09 15:13:08"
"COD_HAITA_ZYOUKENN01","排他条件区分01","1"," ","","","wt03","2008/05/20 10:58:41","fsol14","2009/12/02 15:33:44"
