エンティティ物理名,エンティティ論理名,インデックス物理名,インデックス論理名,インデックスタイプID,エンティティ項目物理名,エンティティ項目論理名,項目順序,登録担当者,登録日付,更新担当者,更新時間
"ZM_BAIKA_SYOUSAI","売価詳細マスタ","XPKZM_BAIKA_SYOUSAI","XPK売価詳細マスタ","PK","LOCATION_CD","ロケーション_コード","1","lpa01","2008/06/02 14:11:33","fsol14","2009/12/10 16:12:14"
"ZM_BAIKA_SYOUSAI","売価詳細マスタ","XPKZM_BAIKA_SYOUSAI","XPK売価詳細マスタ","PK","REBATE_MEI_NO","リベート_明細_番号","2","lpa02","2008/07/14 15:48:08","fsol14","2009/12/10 16:12:14"
"ZM_BAIKA_SYOUSAI","売価詳細マスタ","XPKZM_BAIKA_SYOUSAI","XPK売価詳細マスタ","PK","BAIKA_SETTEI_KINGAKU","売価_設定_金額","3","lpa01","2008/06/02 14:11:33","fsol14","2009/12/10 16:12:14"
"ZM_BAIKA_SYOUSAI_PST","売価詳細マスタ_過去","XPKZM_BAIKA_SYOUSAI_PST","XPK売価詳細マスタ_過去","PK","LOCATION_CD","ロケーション_コード","1","lpa02","2008/07/15 15:50:43","fsol14","2009/12/10 16:12:30"
"ZM_BAIKA_SYOUSAI_PST","売価詳細マスタ_過去","XPKZM_BAIKA_SYOUSAI_PST","XPK売価詳細マスタ_過去","PK","REBATE_MEI_NO","リベート_明細_番号","2","lpa02","2008/07/15 15:50:43","fsol14","2009/12/10 16:12:30"
"ZM_BAIKA_SYOUSAI_PST","売価詳細マスタ_過去","XPKZM_BAIKA_SYOUSAI_PST","XPK売価詳細マスタ_過去","PK","BAIKA_SETTEI_KINGAKU","売価_設定_金額","3","lpa02","2008/07/15 15:50:43","fsol14","2009/12/10 16:12:30"
"ZM_BAIKA_SYOUSAI_PST","売価詳細マスタ_過去","XPKZM_BAIKA_SYOUSAI_PST","XPK売価詳細マスタ_過去","PK","TEKIYOU_START_BI","適用_開始_日","4","lpa02","2008/07/15 15:50:43","fsol14","2009/12/10 16:12:30"
"ZM_BAT_CALENDAR","バッチカレンダマスタ","XPK1ZM_BAT_CALENDAR","XPK1バッチカレンダマスタ","PK","YMD","年月日","1","fsol10","2008/07/15 10:15:12","fsol09","2009/03/24 17:26:50"
"ZM_BAT_CONTROL","バッチコントロールマスタ","XPK1ZM_BAT_CONTROL","XPK1バッチコントロールマスタ","PK","SYUBETU_CD","種別_コード","1","fsol10","2008/07/15 10:25:11","fsol10","2009/01/22 18:30:38"
"ZM_BAT_CONTROL","バッチコントロールマスタ","XPK1ZM_BAT_CONTROL","XPK1バッチコントロールマスタ","PK","KBN_1","区分_１","2","fsol10","2008/07/15 10:25:11","fsol10","2009/01/22 18:30:38"
