項目物理名,項目論理名,ドメイン物理名,ドメイン論理名,データ型,全体桁数,小数桁数,コンディション物理名,コンディション論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"HYOUDAI_LABEL","標題_ラベル","","","N","20","0","","","ラベル登録用項目","fsol05","2009/04/03 17:21:00","fsol05","2009/04/03 17:21:53"
"HENKOU_BI","変更_日","","","X","8","0","","","","fsol09","2011/03/09 18:12:50","fsol09","2011/03/09 18:12:50"
"AITE_SAKI_BUSYO_NM","相手_先_部署_名称","","","N","60","0","","","","lpa01","2008/06/11 13:42:11","lpa01","2008/06/11 13:42:11"
"AITE_SAKI_KBN","相手_先_区分","","","X","2","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"AITE_SAKI_NM","相手_先_名称","","","N","6","0","","","","lpa02","2008/06/11 14:08:09","lpa02","2008/06/11 14:08:09"
"AITE_SAKI_TANTOU_SYA_HOSOKU","相手_先_担当_者_補足","","","N","12","0","","","","lpa01","2008/06/11 13:46:38","lpa01","2008/06/11 13:46:38"
"AKADEN_KBN","赤伝_区分","","","X","1","0","","","","sis01","2008/04/25 12:14:27","sis01","2008/04/25 12:14:27"
"AKAKURO_KBN","赤黒_区分","","","X","1","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"AKIKAN_SYORI_HIYOU","空缶_処理_費用","","","9","8","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/18 22:13:18"
"AKIKAN_SYORI_HIYOU_GOUKEI","空缶_処理_費用_合計","","","9","8","0","","","","fsol07","2011/02/23 18:49:16","fsol07","2011/02/23 18:49:16"
"AKIKAN_SYORI_HIYOU_IN_KBN","空缶_処理_費用_入力_区分","","","X","1","0","","","","fsol12","2011/03/04 18:13:14","fsol12","2011/03/04 18:13:14"
"AKIKAN_SYORI_HIYOU_TAX","空缶_処理_費用_消費税","","","9","8","0","","","","fsol07","2011/02/23 18:08:53","fsol07","2011/02/23 18:08:53"
"AKIKAN_SYORI_HOSOKU","空缶_処理_補足","","","N","12","0","","","","lpa01","2008/06/11 15:45:53","lpa01","2008/06/11 16:05:21"
"AKIKAN_SYORI_KEIYAKU_KIKAN","空缶_処理_契約_期間","","","9","2","0","","","","lpa01","2008/06/11 15:49:01","lpa01","2008/06/11 16:04:34"
"AKIKAN_SYORI_KIKAN","空缶_処理_期間","","","9","2","0","","","","lpa01","2008/06/11 15:51:45","lpa01","2008/06/11 16:03:57"
"AKIKAN_SYORI_KINGAKU","空缶_処理_金額","KINGAKU12","金額12","9","12","0","","","","lpa01","2008/06/11 15:50:54","wt02","2009/10/30 09:44:05"
"AKIKAN_SYORI_KOUKAI_KBN","空缶_処理_公開_区分","","","X","1","0","","","","lpa01","2008/06/11 15:52:14","lpa01","2008/06/11 16:05:01"
"AKIKAN_SYORI_SIHA_SAKI_CD","空缶_処理_支払_先_コード","SEKYU_SIHA_CD","請求先支払先コード","X","8","0","","","","lpa01","2008/06/11 15:53:02","wt02","2009/10/30 09:45:30"
"AKIKAN_SYORI_SIHA_SAKI_NM","空缶_処理_支払_先_名称","","","N","40","0","","","","lpa01","2008/06/11 15:53:24","lpa01","2008/06/11 16:07:09"
"AKIKAN_SYORI_SIHA_TIMING_KBN","空缶_処理_支払_タイミング_区分","","","X","1","0","","","","lpa01","2008/06/11 15:51:21","lpa01","2008/06/11 16:05:51"
"AKIKAN_SYORI_SIHA_ZYOUKEN_KBN","空缶_処理_支払_条件_区分","","","X","1","0","","","","lpa01","2008/06/11 16:03:21","lpa01","2008/06/11 16:03:21"
"ALL_KAISU","全_回数","","","9","2","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"ALL_OUT_KBN","全_出力_区分","","","X","1","0","","","","fsol05","2010/10/07 19:23:40","fsol05","2010/10/07 19:23:40"
"ANBUN_RITU","按分_率","","","9","4","3","","","","fsol12","2011/03/04 18:27:41","fsol12","2011/03/04 18:27:41"
"ANZEN_SETTI_KBN","安全_設置_区分","","","X","1","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
