メッセージID,メッセージタイプID,メッセージ,登録担当者,登録日付,更新担当者,更新時間
"S101","1","「%IT_CAPTION%」は%IT_LENGTH%バイト以下で入力して下さい。","QuiQpro","2007/01/01 00:00:00","fsol00","2009/09/14 17:23:00"
"S102","1","「%IT_CAPTION%」は小数部%IT_DECIMAL%桁以下で入力して下さい。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S103","1","「%IT_CAPTION%」は必ず入力して下さい。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S104","1","「%IT_CAPTION%」は必ず入力して下さい。（%IT_REQUIRED%桁以上）","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S105","1","「%IT_CAPTION%」は%AT_NAME%を入力して下さい。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S106","1","「%IT_CAPTION%」は%AT_NAME%を入力して下さい。（%AT_BIKO%）","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S107","1","「%IT_CAPTION%」に入力したコード [%VALUE%] は見つかりませんでした。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S108","1","「%IT_CAPTION%」は日付として認識できません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S109","1","「%IT_CAPTION%」は数値として認識できません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S110","1","「%IT_CAPTION%」は整数部%IT_INTEGER%桁以下で入力して下さい。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S111","1","「%IT_CAPTION%」は%IT_REQUIRED%桁以上で入力してください。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S114","1","「%IT_CAPTION%」は%IT_MAX_VAL%より小さくなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S115","1","「%IT_CAPTION%」は%IT_MAX_VAL%以下でなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S116","1","「%IT_CAPTION%」は%IT_MIN_VAL%より大きくなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S117","1","「%IT_CAPTION%」は%IT_MIN_VAL%以上でなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S118","1","「%IT_CAPTION%」は%IT_MIN_VAL%より大きく、%IT_MAX_VAL%より小さくなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S119","1","「%IT_CAPTION%」は%IT_MIN_VAL%以上、%IT_MAX_VAL%より小さくなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S120","1","「%IT_CAPTION%」は%IT_MIN_VAL%より大きく、%IT_MAX_VAL%以下でなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S121","1","「%IT_CAPTION%」は%IT_MIN_VAL%以上、%IT_MAX_VAL%以下でなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S122","1","「%IT_CAPTION%」に使用できない文字が含まれています。『%1』","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S201","1","「%IT_CAPTION%」は%IT_LENGTH%バイト以下で入力して下さい。","QuiQpro","2007/01/01 00:00:00","fsol00","2009/09/14 17:22:54"
"S202","1","「%IT_CAPTION%」は小数部%IT_DECIMAL%桁以下で入力して下さい。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S203","1","「%IT_CAPTION%」は必ず入力して下さい。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S204","1","「%IT_CAPTION%」は必ず入力して下さい。（%IT_REQUIRED%桁以上）","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S205","1","「%IT_CAPTION%」は%AT_NAME%を入力して下さい。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S206","1","「%IT_CAPTION%」は%AT_NAME%を入力して下さい。（%AT_BIKO%）","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S207","1","「%IT_CAPTION%」に入力したコード [%VALUE%] は見つかりませんでした。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S208","1","「%IT_CAPTION%」は日付として認識できません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S209","1","「%IT_CAPTION%」は数値として認識できません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S210","1","「%IT_CAPTION%」は整数部%IT_INTEGER%桁以下で入力して下さい。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S211","1","「%IT_CAPTION%」は%IT_REQUIRED%桁以上で入力してください。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S214","1","「%IT_CAPTION%」は%IT_MAX_VAL%より小さくなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S215","1","「%IT_CAPTION%」は%IT_MAX_VAL%以下でなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S216","1","「%IT_CAPTION%」は%IT_MIN_VAL%より大きくなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S217","1","「%IT_CAPTION%」は%IT_MIN_VAL%以上でなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S218","1","「%IT_CAPTION%」は%IT_MIN_VAL%より大きく、%IT_MAX_VAL%より小さくなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S219","1","「%IT_CAPTION%」は%IT_MIN_VAL%以上、%IT_MAX_VAL%より小さくなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S220","1","「%IT_CAPTION%」は%IT_MIN_VAL%より大きく、%IT_MAX_VAL%以下でなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S221","1","「%IT_CAPTION%」は%IT_MIN_VAL%以上、%IT_MAX_VAL%以下でなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S222","1","「%IT_CAPTION%」に使用できない文字が含まれています。『%1』","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S301","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_LENGTH%バイト以下で入力して下さい。","QuiQpro","2007/01/01 00:00:00","fsol00","2009/09/14 17:22:48"
"S302","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は小数部%IT_DECIMAL%桁以下で入力して下さい。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S303","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は必ず入力して下さい。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
