エンティティ物理名,エンティティ論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"ZT_OBOEGAKI_INFO_HED","覚書情報テーブル_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","lpa03","2011/03/18 16:37:23"
"ZT_OBOEGAKI_INFO_MEI","覚書情報テーブル_明細","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:03:59"
"ZT_OBOEGAKI_NAI_MEI","覚書内容テーブル_明細","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:04:15"
"ZT_OBOEGAKI_NAI_LSIEN","覚書内容テーブル（ロケ支援等）","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:05:10"
"ZT_OBOEGAKI_NAI_KYOUTU","覚書内容テーブル（共通用）","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:06:30"
"ZT_OBOEGAKI_NAI_SKRBT_HED","覚書内容テーブル（商品拡販リベート）_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:06:50"
"ZT_OBOEGAKI_NAI_SKRBT_MEI","覚書内容テーブル（商品拡販リベート）_明細","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:08:58"
"ZT_OBOEGAKI_NAI_KRHEN","覚書内容テーブル（関連費援助）","覚書・支払","fsol07","2011/01/19 12:22:20","lpa03","2011/03/18 16:35:57"
"ZM_OBOEGAKI_YOUSIKI","覚書様式マスタ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:09:50"
"ZM_OBOEGAKI_HIMOKU","覚書費目マスタ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:10:08"
"ZM_OBOEGAKI_HIMOKU_S","覚書費目詳細マスタ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:10:17"
"ZT_FO_AZUKARIKIN","フルオペ預り金データ","覚書・支払、入金・債権","fsol05","2010/10/07 19:54:53","fsol12","2011/03/09 10:06:05"
"ZM_KIGYOU1_GRP","企業１グループマスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:23:08"
"ZM_KIGYOU1","企業１マスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:24:12"
"ZM_KIGYOU2_GRP","企業２グループマスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:24:46"
"ZM_KIGYOU2","企業２マスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:24:38"
"ZM_KIGYOU_HAISOU","企業配送先設定マスタ","流通リベート","fsol07","2011/01/19 12:22:20","lpa00","2011/04/05 13:59:08"
"ZM_TYOUAI","帳合先マスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:25:27"
"ZM_CHAIN","チェーンマスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:25:54"
"ZT_RRBT_ZKN_HED","流通リベート条件テーブル_ヘッダ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:27:54"
"ZT_RRBT_ZKN_MEI1","流通リベート条件テーブル_明細1","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:28:15"
"ZT_RRBT_ZKN_MEI2","流通リベート条件テーブル_明細2","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:28:23"
"ZM_KOUZA_INFO","口座情報マスタ","共通（支払先マスタの振込元口座、経費口座への振込元口座、現金渡しの場合の出金口座に使用）","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:29:02"
