コードID,項目順序,表示幅,項目名,キー値順序,名称値順序,検索順序,検索タイプ,ソート順序,開始キー,コントロールID,コントロール名,属性ID,コンディションID,コンディション名,フォーマットID,IMEモードID,IMEモード名,作成者ID,作成日付,更新者ID,更新日付
"銀行支店マスタ01","1","70","銀行コード","1","1","2","1","1","","TXT","テキストボックス","SB1","","","00","2","オフ","lpa02","2008/09/10 14:27:40","lpa00","2010/03/15 09:29:20"
"銀行支店マスタ01","2","90","銀行支店コード","2","2","4","1","2","","TXT","テキストボックス","SB1","","","00","2","オフ","lpa02","2008/09/10 14:27:40","lpa00","2010/03/15 09:29:20"
"銀行支店マスタ01","3","300","銀行名","0","3","1","3","0","","TXT","テキストボックス","SN5","","","00","1","オン","lpa02","2008/09/10 14:27:40","lpa00","2010/03/15 09:29:20"
"銀行支店マスタ01","4","300","銀行支店名","0","4","3","3","0","","TXT","テキストボックス","SN5","","","00","1","オン","lpa02","2008/09/10 14:27:40","lpa00","2010/03/15 09:29:20"
"部署区分名称01","1","200","","0","0","0","0","0","='BUSYO_KBN'","","","","","","00","0","","fsol14","2008/10/10 13:41:36","fsol10","2009/03/15 15:37:29"
"部署区分名称01","2","70","","1","0","0","0","1","","","","","","","00","0","","fsol14","2008/10/10 13:41:36","fsol10","2009/03/15 15:37:29"
"部署区分名称01","3","400","","0","1","0","0","0","","","","","","","00","0","","fsol14","2008/10/10 13:41:36","fsol10","2009/03/15 15:37:29"
"部署区分名称01","4","10","","0","0","0","0","0","='0'","","","","","","00","0","","fsol14","2008/10/10 13:41:36","fsol10","2009/03/15 15:37:29"
"営業所区分名称01","1","200","","0","0","0","0","0","='EIGYOUSYO_KBN'","","","","","","00","0","","fsol10","2008/10/10 15:12:30","fsol10","2009/03/15 15:37:41"
"営業所区分名称01","2","70","","1","0","0","0","1","","","","","","","00","0","","fsol10","2008/10/10 15:12:30","fsol10","2009/03/15 15:37:41"
"営業所区分名称01","3","400","","0","1","0","0","0","","","","","","","00","0","","fsol10","2008/10/10 15:12:30","fsol10","2009/03/15 15:37:41"
"営業所区分名称01","4","10","","0","0","0","0","0","='0'","","","","","","00","0","","fsol10","2008/10/10 15:12:30","fsol10","2009/03/15 15:37:41"
"値引区分01","1","200","","0","0","0","0","0","='NEBIKI_KBN'","","","","","","00","0","","fsol14","2008/10/10 20:02:56","fsol10","2009/03/15 15:43:45"
"値引区分01","2","70","","1","0","0","0","1","","","","","","","00","0","","fsol14","2008/10/10 20:02:56","fsol10","2009/03/15 15:43:45"
"値引区分01","3","400","","0","1","0","0","0","","","","","","","00","0","","fsol14","2008/10/10 20:02:56","fsol10","2009/03/15 15:43:45"
"値引区分01","4","10","","0","0","0","0","0","='0'","","","","","","00","0","","fsol14","2008/10/10 20:02:56","fsol10","2009/03/15 15:43:46"
"棚卸区分名称01","1","200","","0","0","0","0","0","='TANAOROSI_KBN'","","","","","","00","0","","fsol10","2008/10/10 15:13:33","fsol10","2009/03/15 15:43:53"
"棚卸区分名称01","2","70","","1","0","0","0","1","","","","","","","00","0","","fsol10","2008/10/10 15:13:33","fsol10","2009/03/15 15:43:53"
"棚卸区分名称01","3","400","","0","1","0","0","0","","","","","","","00","0","","fsol10","2008/10/10 15:13:33","fsol10","2009/03/15 15:43:53"
"棚卸区分名称01","4","10","","0","0","0","0","0","='0'","","","","","","00","0","","fsol10","2008/10/10 15:13:33","fsol10","2009/03/15 15:43:53"
"単価ＮＯ01","1","0","","0","0","0","0","0","='TANKA_NO'","","","","","","00","0","","fsol10","2008/08/19 10:27:41","fsol10","2009/04/02 20:45:41"
"単価ＮＯ01","2","80","単価ＮＯ","1","1","1","1","1","","TXT","テキストボックス","SB","","","00","2","オフ","fsol10","2008/08/19 10:27:41","fsol10","2009/04/02 20:45:41"
"単価ＮＯ01","3","280","単価ＮＯ名称","0","2","2","3","0","","TXT","テキストボックス","SN5","","","00","1","オン","fsol10","2008/08/19 10:27:41","fsol10","2009/04/02 20:45:41"
"単価ＮＯ01","4","0","","0","0","0","0","0","='0'","","","","","","00","0","","fsol10","2008/08/19 11:30:25","fsol10","2009/04/02 20:45:41"
"消費税適用区分01","1","200","","0","0","0","0","0","='TAX_TEKIYO_KBN'","","","","","","00","0","","fsol10","2008/10/16 14:12:22","fsol10","2009/03/15 15:44:04"
"消費税適用区分01","2","70","","1","0","0","0","1","","","","","","","00","0","","fsol10","2008/10/16 14:12:22","fsol10","2009/03/15 15:44:04"
"消費税適用区分01","3","400","","0","1","0","0","0","","","","","","","00","0","","fsol10","2008/10/16 14:12:22","fsol10","2009/03/15 15:44:04"
"消費税適用区分01","4","10","","0","0","0","0","0","='0'","","","","","","00","0","","fsol10","2008/10/16 14:12:22","fsol10","2009/03/15 15:44:04"
"郵便番号マスタ01","1","70","郵便番号","1","1","1","1","1","","TXT","テキストボックス","SC","","","00","2","オフ","fsol10","2008/07/23 19:48:45","fsol09","2009/06/24 17:16:13"
"郵便番号マスタ01","2","0","地区コード","0","0","0","0","0","","","","","","","00","0","","fsol10","2008/07/23 19:48:45","fsol09","2009/06/24 17:16:13"
"郵便番号マスタ01","3","270","住所１","0","2","2","3","2","","TXT","テキストボックス","SN3","","","00","1","オン","fsol10","2008/07/23 19:48:45","fsol09","2009/06/24 17:16:13"
"郵便番号マスタ01","4","270","住所２","0","3","3","3","0","","TXT","テキストボックス","SN3","","","00","1","オン","fsol10","2008/07/23 19:48:45","fsol09","2009/06/24 17:16:13"
"郵便番号マスタ01","5","0","特殊_区分","0","0","4","2","0","","TXT","テキストボックス","SG","","","00","2","オフ","fsol09","2009/01/09 14:11:16","fsol09","2009/06/24 17:16:13"
"郵便番号マスタ01","6","0","","0","0","0","0","0","='0'","","","","","","00","0","","fsol09","2008/07/29 11:11:30","fsol09","2009/06/24 17:16:13"
"承認ルートマスタ01","1","75","会社コード","1","1","1","1","1","","TXT","テキストボックス","SB","","","00","2","オフ","fsol09","2008/07/16 09:59:32","fsol10","2009/04/02 21:53:26"
