エンティティ物理名,エンティティ論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"XM_BASE","マスタベース（新規作成用ベース)","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
"ZM_BAIKA_SYOUSAI","売価詳細マスタ","","lpa02","2008/05/28 18:31:13","fsol14","2009/12/22 09:46:55"
"ZM_BAIKA_SYOUSAI_LOG","売価詳細マスタ_ログ","","lpa02","2008/07/15 15:49:07","lpa02","2008/12/09 16:39:34"
"ZM_BAIKA_SYOUSAI_PST","売価詳細マスタ_過去","","lpa02","2008/07/15 15:50:43","fsol14","2009/12/22 09:49:20"
"ZM_BAT_CALENDAR","バッチカレンダマスタ","","fsol10","2008/07/15 10:15:12","fsol09","2009/03/24 17:26:50"
"ZM_BAT_CONTROL","バッチコントロールマスタ","","fsol10","2008/07/15 10:25:11","fsol10","2009/01/22 18:30:38"
"ZM_BUSYO","部署マスタ","","fsol09","2008/06/17 16:23:41","fsol05","2009/06/12 16:30:11"
"ZM_BUSYO_FTR","部署マスタ_未来","","fsol10","2008/07/16 15:51:38","fsol10","2009/04/10 10:11:37"
"ZM_BUSYO_PST","部署マスタ_過去","","fsol10","2008/07/16 15:52:33","fsol10","2009/04/10 10:22:35"
"ZM_CALENDAR","カレンダマスタ","","fsol10","2008/07/15 10:04:32","fsol14","2009/12/10 16:13:21"
"ZM_DAIKOU","代行マスタ","","fsol10","2008/07/16 09:57:03","fsol10","2008/07/16 10:02:04"
"ZM_FO_SIHA","フルオペ支払先マスタ","","lpa00","2008/07/15 10:37:09","fsol14","2009/12/22 09:50:06"
"ZM_FO_SIHA_LOG","フルオペ支払先マスタ_ログ","","lpa02","2008/07/16 18:15:59","fsol07","2009/04/09 15:32:11"
"ZM_FO_SIHA_PST","フルオペ支払先マスタ_過去","","lpa02","2008/07/16 18:16:47","fsol14","2009/12/22 10:16:02"
"ZM_GENERAL_CONTROL","汎用コントロールマスタ","","fsol09","2008/06/10 08:58:34","fsol10","2009/02/02 19:56:47"
"ZM_GENERAL_CSV","汎用CSVマスタ","","fsol05","2008/07/03 16:02:50","wt01","2009/03/03 10:31:03"
"ZM_GENERAL_CSV_BUSYO","汎用CSV部署マスタ","","fsol05","2008/07/03 16:04:28","wt03","2008/08/08 15:25:58"
"ZM_GINKOU","銀行マスタ","","fsol09","2008/05/09 14:40:12","fsol07","2009/10/16 19:50:37"
"ZM_GINKOU_GRP","銀行グループマスタ","","fsol09","2008/05/08 16:05:48","fsol10","2009/01/22 13:49:45"
"ZM_GINKOU_HOL_CALENDAR","銀行休日カレンダマスタ","","fsol07","2011/02/01 09:49:48","fsol07","2011/02/01 09:50:34"
"ZM_GINKOU_HURIWAKE","銀行振分マスタ","","fsol10","2008/08/18 19:30:06","base03","2009/07/16 17:34:03"
"ZM_GINKOU_SITEN","銀行支店マスタ","","fsol09","2008/05/09 15:06:42","fsol14","2009/12/22 10:16:40"
"ZM_INFO_TANTOU","通知先担当者マスタ","","wt03","2008/08/08 16:31:25","wt04","2009/03/23 10:29:06"
"ZM_KEIYAKU_KBN","契約区分マスタ","","fsol07","2008/06/03 14:03:24","lpa02","2009/01/21 11:19:36"
"ZM_KEIYAKU_SOUHU_KBN","契約送付区分マスタ","","fsol07","2008/09/08 19:32:07","fsol07","2008/09/08 20:23:30"
"ZM_KENMU","兼務マスタ","","fsol09","2008/06/19 15:00:51","fsol10","2009/01/22 15:06:33"
"ZM_KOUIKI_KIGYOU","広域企業マスタ","","lpa00","2008/05/08 10:15:05","lpa01","2008/10/23 10:02:44"
"ZM_KOUIKI_KIGYOU_BIKO","広域企業備考マスタ","","lpa01","2008/06/30 11:31:33","lpa03","2008/10/01 15:12:35"
"ZM_KOUIKI_KIGYOU_GRP","広域企業グループマスタ","","lpa00","2008/05/08 10:00:04","lpa03","2008/10/01 15:10:24"
"ZM_KOUIKI_KIGYOU_SUB_GRP","広域企業サブグループマスタ","","lpa00","2008/05/08 10:04:10","lpa03","2008/10/01 15:11:00"
"ZM_LOCATION","ロケーションマスタ","","lpa01","2008/05/30 17:47:22","fsol12","2011/01/31 18:57:14"
"ZM_LOCATION_LOG","ロケーションマスタ_ログ","","lpa01","2008/08/18 18:06:57","fsol07","2009/03/24 18:57:08"
"ZM_LOCATION_PST","ロケーションマスタ_過去","","lpa01","2008/08/18 18:08:28","fsol14","2009/12/22 10:19:28"
"ZM_LOGIN_PASS","ログインパスワードマスタ","","fsol10","2008/04/25 14:31:39","fsol14","2009/12/11 17:08:25"
"ZM_MEISYOU","名称マスタ","","fsol09","2008/07/15 10:38:28","fsol10","2009/01/22 18:46:31"
"ZM_OBOEGAKI_BOKIN","覚書(募金自販機)マスタ","","lpa01","2008/06/02 09:51:42","lpa00","2008/12/01 16:34:42"
"ZM_OBOEGAKI_YH_TAIOU","覚書様式費目対応マスタ","","fsol07","2011/02/24 18:21:35","fsol07","2011/02/24 18:22:47"
"ZM_OROSI_TOK_TAN","卸得意先別価格マスタ","","fsol10","2008/07/14 21:58:41","fsol14","2009/12/22 10:19:57"
"ZM_POST_NO","郵便番号マスタ","","fsol10","2008/07/16 11:44:24","fsol14","2009/12/22 10:20:24"
"ZM_REBATE_SIHA_ZKN","リベート支払条件マスタ","","lpa02","2008/05/28 17:21:48","fsol14","2009/12/22 10:20:46"
"ZM_REBATE_SIHA_ZKN_LOG","リベート支払条件マスタ_ログ","","lpa02","2008/07/15 13:07:36","lpa02","2009/01/23 15:37:34"
"ZM_REBATE_SIHA_ZKN_PST","リベート支払条件マスタ_過去","","lpa02","2008/07/15 13:17:04","fsol14","2009/12/22 10:21:15"
"ZM_SAIBAN","採番マスタ","","fsol10","2008/07/15 11:44:43","wt04","2009/03/23 10:30:16"
"ZM_SYAIN","社員マスタ","","fsol10","2008/07/15 12:00:19","fsol14","2009/12/10 16:19:09"
"ZM_SYAIN_KIHON","社員基本マスタ","","fsol10","2008/07/15 14:18:14","fsol14","2009/12/10 16:19:21"
"ZM_SYAIN_LOG","社員マスタ_ログ","","fsol09","2008/05/08 13:45:08","fsol09","2009/03/24 22:38:59"
"ZM_SYAIN_PST","社員マスタ_過去","","fsol10","2008/07/15 13:58:01","fsol14","2009/12/10 16:19:32"
