用語物理名,用語論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"_","_","","fsol05","2008/04/23 21:41:29","fsol05","2009/04/13 13:46:18"
"KEI","計","","base01","2008/11/19 10:52:08","base01","2008/11/19 10:52:08"
"STORE","店舗","","fsol03","2008/07/14 14:28:28","fsol03","2008/07/14 14:28:28"
"USER","ユーザ","","Administrator","2008/11/18 21:54:47","Administrator","2008/11/18 21:55:06"
"0","０","","sis01","2008/04/23 14:12:17","sis01","2008/04/23 14:12:17"
"00","００","","fsol10","2011/01/11 15:16:24","fsol10","2011/01/11 15:16:24"
"01","０１","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"02","０２","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"03","０３","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"04","０４","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"05","０５","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"06","０６","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"07","０７","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"08","０８","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"09","０９","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"1","１","","sis01","2008/04/23 14:12:22","sis01","2008/04/23 14:12:22"
"10","１０","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"100","１００","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"1000","１０００","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"10000","１００００","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"11","１１","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"12","１２","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"13","１３","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
