コンデションID,コンディション名称,項目順序,コンディション項目ID,コンディション値,コンディションラベル,登録担当者,登録日付,更新担当者,更新時間
"COD_TYUSYUTU_ZYOUKEN_KBN02","抽出条件区分02","1","TOK","0","得意先","fsol09","2011/03/23 17:56:18","fsol09","2011/03/23 17:56:18"
"COD_TYUSYUTU_ZYOUKEN_KBN02","抽出条件区分02","2","SEIKYU_SAKI","1","請求先","fsol09","2011/03/23 17:56:18","fsol09","2011/03/23 17:56:18"
"COD_AITESAKI_KBN01","相手先区分01","1","TYOKUHAN","01","直販","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:16:50"
"COD_AITESAKI_KBN01","相手先区分01","2","TYUKAI","02","卸仲介","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:16:50"
"COD_AITESAKI_KBN01","相手先区分01","3","ZISYA","03","卸自社","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:16:50"
"COD_AITESAKI_KBN02","相手先区分02","1","TYUKAI","02","卸仲介","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:17:21"
"COD_AITESAKI_KBN02","相手先区分02","2","ZISYA","03","卸自社","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:17:21"
"COD_AKIKOUZA_SRH_KBN01","空き口座検索区分01","1","ALL","0","全て","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_AKIKOUZA_SRH_KBN01","空き口座検索区分01","2","AKIKOZA_NOMI","1","空き口座のみ","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_ALL_OUT_KBN01","全出力区分01","1","NASI","0","しない","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_ALL_OUT_KBN01","全出力区分01","2","ARI","1","する","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_ANZEN_SETTI_KBN01","安全設置区分01","1","S","S","S","fsol14","2010/08/03 10:17:20","fsol14","2010/08/03 10:17:20"
"COD_ANZEN_SETTI_KBN01","安全設置区分01","2","D","D","D","fsol14","2010/08/03 10:17:20","fsol14","2010/08/03 10:17:20"
"COD_ANZEN_SETTI_KBN01","安全設置区分01","3","MINYURYOKU","0","未入力","fsol14","2010/08/03 10:17:20","fsol14","2010/08/03 10:17:20"
"COD_ANZEN_SETTI_KBN02","安全設置区分02","1","ALL","ALL","全て","fsol05","2009/09/03 12:50:26","fsol14","2009/12/02 14:17:42"
"COD_ANZEN_SETTI_KBN02","安全設置区分02","2","S","S","S","fsol05","2009/09/03 12:50:26","fsol14","2009/12/02 14:17:42"
"COD_ANZEN_SETTI_KBN02","安全設置区分02","3","D","D","D","fsol05","2009/09/03 12:50:26","fsol14","2009/12/02 14:17:42"
"COD_ANZEN_SETTI_KBN02","安全設置区分02","4","MINYURYOKU","0","未入力","fsol05","2009/09/03 12:50:26","fsol14","2009/12/02 14:17:42"
"COD_BAIKA_SETTEI_KBN01","売価設定区分01","1","TEIRITU","0","定率","lpa00","2008/07/08 10:55:25","fsol14","2009/12/02 14:17:54"
"COD_BAIKA_SETTEI_KBN01","売価設定区分01","2","HATARI","1","本当り","lpa00","2008/07/08 10:55:25","fsol14","2009/12/02 14:17:54"
"COD_BUHIN_SYURUI_CD01","部品種類コード01","1","SINPIN","01","新品","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:18:05"
"COD_BUHIN_SYURUI_CD01","部品種類コード01","2","SAISEI","02","再生（中古）","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:18:05"
"COD_BUHIN_SYURUI_CD01","部品種類コード01","3","ROTATION","03","ローテーション","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:18:05"
"COD_BUHIN_SYURUI_CD01","部品種類コード01","4","EIGYOUSYO_SIKYU","04","営業所支給","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:18:05"
"COD_BUHIN_SYURUI_CD01","部品種類コード01","5","TC_SIKYU","05","ＴＣ支給","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:18:05"
"COD_BUHIN_SYURUI_CD01","部品種類コード01","6","MAKER_SIKYU","06","メーカー支給","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:18:05"
"COD_BUHIN_SYURUI_CD01","部品種類コード01","7","HOKEN","07","保険","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:18:05"
"COD_BUHIN_SYURUI_CD01","部品種類コード01","8","SONOTA","08","その他","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:18:05"
"COD_BUSYO_KBN01","部署区分01","1","EIGYOUSYO","00","営業所","fsol07","2009/10/19 09:04:20","fsol14","2009/12/02 14:18:15"
"COD_BUSYO_KBN01","部署区分01","2","SITEN","01","支店（販社本社）","fsol07","2009/10/19 09:04:20","fsol14","2009/12/02 14:18:15"
"COD_BUSYO_KBN01","部署区分01","3","ZIHANKI_KANRI_CENTER","02","自販機管理センター","fsol07","2009/10/19 09:04:20","fsol14","2009/12/02 14:18:15"
"COD_BUSYO_KBN01","部署区分01","4","ETC","99","その他","fsol07","2009/10/19 09:04:20","fsol14","2009/12/02 14:18:15"
"COD_CALC_ZYOUKEN_KBN01","計算条件区分01","1","NOUNYU_ZISSEKI","0","納入実績","fsol07","2011/02/17 11:08:53","fsol07","2011/02/17 11:08:53"
"COD_CALC_ZYOUKEN_KBN01","計算条件区分01","2","HANBAI_ZISSEKI","1","販売実績","fsol07","2011/02/17 11:08:53","fsol07","2011/02/17 11:08:53"
"COD_CARD_HENKIN_KBN01","カード返金区分01","1","NASI","0","しない","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_CARD_HENKIN_KBN01","カード返金区分01","2","ARI","1","する","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_CHAIN_KBN01","チェーン区分01","1","CVS","0","ＣＶＳ","fsol07","2011/01/26 13:44:42","fsol07","2011/01/26 13:45:08"
"COD_CHAIN_KBN01","チェーン区分01","2","RYOUHAN","1","量販","fsol07","2011/01/26 13:44:42","fsol07","2011/01/26 13:45:08"
"COD_CHAIN_KBN01","チェーン区分01","3","RAILWAY","2","鉄道","fsol07","2011/01/26 13:44:42","fsol07","2011/01/26 13:45:08"
"COD_CHANNEL_BUNRUI01","チャネル分類01","1","TYOKUHAN_RE","1","直販RE","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:59:59"
"COD_CHANNEL_BUNRUI01","チャネル分類01","2","TYOKUHAN_FO","2","直販FO","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:59:59"
"COD_CHANNEL_BUNRUI01","チャネル分類01","3","OROSI","3","卸","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:59:59"
"COD_CHANNEL_BUNRUI01","チャネル分類01","4","SUISIN","4","推進","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:59:59"
"COD_CHANNEL_BUNRUI01","チャネル分類01","5","KAIGAI","5","海外","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:59:59"
"COD_CHANNEL_BUNRUI02","チャネル分類02","1","ALLVALUE","ALLVALUE","全て","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_CHANNEL_BUNRUI02","チャネル分類02","2","TYOKUHAN","1","直販","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_CHANNEL_BUNRUI02","チャネル分類02","3","TYOKUHAN_IGAI","2","直販以外","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_CHANNEL_KBN01","チャネル区分01","1","TYOKUHAN_RE","11","直販ＲＥ","lpa01","2008/05/01 18:37:49","fsol14","2009/12/02 14:18:23"
"COD_CHANNEL_KBN01","チャネル区分01","2","TYOKUHAN_FO","12","直販ＦＯ","lpa01","2008/05/01 18:37:49","fsol14","2009/12/02 14:18:23"
"COD_CHANNEL_KBN01","チャネル区分01","3","MINI_OROISI","13","ミニ卸","lpa01","2008/05/01 18:37:49","fsol14","2009/12/02 14:18:23"
"COD_CHANNEL_KBN01","チャネル区分01","4","OROSI","21","卸","lpa01","2008/05/01 18:37:49","fsol14","2009/12/02 14:18:23"
"COD_CHANNEL_KBN01","チャネル区分01","5","HANSYA","22","販社","lpa01","2008/05/01 18:37:49","fsol14","2009/12/02 14:18:23"
"COD_CHANNEL_KBN01","チャネル区分01","6","SUISIN","31","推進","lpa01","2008/05/01 18:37:49","fsol14","2009/12/02 14:18:23"
"COD_CHANNEL_KBN01","チャネル区分01","7","KOUIKI","32","広域","lpa01","2008/05/01 18:37:49","fsol14","2009/12/02 14:18:23"
"COD_CHANNEL_KBN01","チャネル区分01","8","KAIGAI","41","海外","lpa01","2008/05/01 18:37:49","fsol14","2009/12/02 14:18:23"
"COD_CHANNEL_KBN02","チャネル区分02","1","RE","11","ＲＥ","lpa00","2008/07/08 11:10:05","fsol14","2009/12/02 14:39:49"
"COD_CHANNEL_KBN02","チャネル区分02","2","FO","12","ＦＯ","lpa00","2008/07/08 11:10:05","fsol14","2009/12/02 14:39:49"
"COD_CHANNEL_KBN03","チャネル区分03","1","TYOKUHAN_RE","11","直販ＲＥ","lpa02","2008/12/19 18:33:58","fsol14","2009/12/02 14:39:57"
"COD_CHANNEL_KBN03","チャネル区分03","2","TYOKUHAN_FO","12","直販ＦＯ","lpa02","2008/12/19 18:33:58","fsol14","2009/12/02 14:39:57"
"COD_CHANNEL_KBN03","チャネル区分03","3","MINI_OROISI","13","ミニ卸","lpa02","2008/12/19 18:33:58","fsol14","2009/12/02 14:39:57"
"COD_CHANNEL_KBN03","チャネル区分03","4","OROSI","21","卸","lpa02","2008/12/19 18:33:58","fsol14","2009/12/02 14:39:57"
"COD_CHANNEL_KBN03","チャネル区分03","5","HANSYA","22","販社","lpa02","2008/12/19 18:33:58","fsol14","2009/12/02 14:39:57"
"COD_CHANNEL_KBN03","チャネル区分03","6","SUISIN","31","推進","lpa02","2008/12/19 18:33:58","fsol14","2009/12/02 14:39:57"
"COD_CHANNEL_KBN03","チャネル区分03","7","KOUIKI","32","広域","lpa02","2008/12/19 18:33:58","fsol14","2009/12/02 14:39:57"
"COD_CHANNEL_KBN03","チャネル区分03","8","KAIGAI","41","海外","lpa02","2008/12/19 18:33:58","fsol14","2009/12/02 14:39:57"
"COD_CHANNEL_KBN04","チャネル区分04","1","TYOKUHAN_RE","11","直販ＲＥ","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:40:06"
"COD_CHANNEL_KBN04","チャネル区分04","2","TYOKUHAN_FO","12","直販ＦＯ","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:40:06"
"COD_CHANNEL_KBN04","チャネル区分04","3","MINI_OROISI","13","ミニ卸","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:40:06"
"COD_CHANNEL_KBN04","チャネル区分04","4","OROSI","21","卸","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:40:06"
"COD_CHANNEL_KBN04","チャネル区分04","5","HANSYA","22","販社","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:40:06"
"COD_CHANNEL_KBN04","チャネル区分04","6","SUISIN","31","推進","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:40:06"
"COD_CHANNEL_KBN04","チャネル区分04","7","KOUIKI","32","広域","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:40:06"
"COD_CHANNEL_KBN04","チャネル区分04","8","KAIGAI","41","海外","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:40:06"
"COD_CHANNEL_KBN04","チャネル区分04","9","KYOUTU","99","共通","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:40:06"
