エンティティ物理名,エンティティ論理名,項目順序,エンティティ項目物理名,エンティティ項目論理名,外部キーフラグ,NotNullフラグ,デフォルト値,コンディション物理名,コンディション論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"XM_BASE","マスタベース（新規作成用ベース)","1","X_INS_DATETIME","共通_作成_日時","false","false","","","","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
"XM_BASE","マスタベース（新規作成用ベース)","2","X_INS_USER_ID","共通_作成_ユーザ_ＩＤ","false","false","","","","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
"XM_BASE","マスタベース（新規作成用ベース)","3","X_INS_CLIENT_IP","共通_作成_クライアント_ＩＰ","false","false","","","","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
"XM_BASE","マスタベース（新規作成用ベース)","4","X_INS_APSERVER_IP","共通_作成_アプリサーバ_ＩＰ","false","false","","","","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
"XM_BASE","マスタベース（新規作成用ベース)","5","X_INS_PG_ID","共通_作成_プログラム_ＩＤ","false","false","","","","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
"XM_BASE","マスタベース（新規作成用ベース)","6","D_UPD_DATETIME","画面_更新_日時","false","false","","","","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
"XM_BASE","マスタベース（新規作成用ベース)","7","D_UPD_USER_ID","画面_更新_ユーザ_ＩＤ","false","false","","","","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
"XM_BASE","マスタベース（新規作成用ベース)","8","D_UPD_CLIENT_IP","画面_更新_クライアント_ＩＰ","false","false","","","","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
"XM_BASE","マスタベース（新規作成用ベース)","9","D_UPD_APSERVER_IP","画面_更新_アプリサーバ_ＩＰ","false","false","","","","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
"XM_BASE","マスタベース（新規作成用ベース)","10","D_UPD_PG_ID","画面_更新_プログラム_ＩＤ","false","false","","","","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
"XM_BASE","マスタベース（新規作成用ベース)","11","B_UPD_DATETIME","バッチ_更新_日時","false","false","","","","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
"XM_BASE","マスタベース（新規作成用ベース)","12","B_UPD_USER_ID","バッチ_更新_ユーザ_ＩＤ","false","false","","","","","fsol10","2008/07/15 14:13:45","fsol09","2009/03/23 15:09:39"
