言語ID,メッセージID,メッセージ
"JP","S101","「%IT_CAPTION%」は%IT_LENGTH%バイト以下で入力して下さい。"
"JP","S102","「%IT_CAPTION%」は小数部%IT_DECIMAL%桁以下で入力して下さい。"
"JP","S103","「%IT_CAPTION%」は必ず入力して下さい。"
"JP","S104","「%IT_CAPTION%」は必ず入力して下さい。（%IT_REQUIRED%桁以上）"
"JP","S105","「%IT_CAPTION%」は%AT_NAME%を入力して下さい。"
"JP","S106","「%IT_CAPTION%」は%AT_NAME%を入力して下さい。（%AT_BIKO%）"
"JP","S107","「%IT_CAPTION%」に入力したコード [%VALUE%] は見つかりませんでした。"
"JP","S108","「%IT_CAPTION%」は日付として認識できません。"
"JP","S109","「%IT_CAPTION%」は数値として認識できません。"
"JP","S110","「%IT_CAPTION%」は整数部%IT_INTEGER%桁以下で入力して下さい。"
"JP","S111","「%IT_CAPTION%」は%IT_REQUIRED%桁以上で入力してください。"
"JP","S114","「%IT_CAPTION%」は%IT_MAX_VAL%より小さくなければなりません。"
"JP","S115","「%IT_CAPTION%」は%IT_MAX_VAL%以下でなければなりません。"
"JP","S116","「%IT_CAPTION%」は%IT_MIN_VAL%より大きくなければなりません。"
"JP","S117","「%IT_CAPTION%」は%IT_MIN_VAL%以上でなければなりません。"
"JP","S118","「%IT_CAPTION%」は%IT_MIN_VAL%より大きく、%IT_MAX_VAL%より小さくなければなりません。"
"JP","S119","「%IT_CAPTION%」は%IT_MIN_VAL%以上、%IT_MAX_VAL%より小さくなければなりません。"
"JP","S120","「%IT_CAPTION%」は%IT_MIN_VAL%より大きく、%IT_MAX_VAL%以下でなければなりません。"
"JP","S121","「%IT_CAPTION%」は%IT_MIN_VAL%以上、%IT_MAX_VAL%以下でなければなりません。"
"JP","S122","「%IT_CAPTION%」に使用できない文字が含まれています。『%1』"
"JP","S201","「%IT_CAPTION%」は%IT_LENGTH%バイト以下で入力して下さい。"
"JP","S202","「%IT_CAPTION%」は小数部%IT_DECIMAL%桁以下で入力して下さい。"
"JP","S203","「%IT_CAPTION%」は必ず入力して下さい。"
"JP","S204","「%IT_CAPTION%」は必ず入力して下さい。（%IT_REQUIRED%桁以上）"
"JP","S205","「%IT_CAPTION%」は%AT_NAME%を入力して下さい。"
"JP","S206","「%IT_CAPTION%」は%AT_NAME%を入力して下さい。（%AT_BIKO%）"
"JP","S207","「%IT_CAPTION%」に入力したコード [%VALUE%] は見つかりませんでした。"
"JP","S208","「%IT_CAPTION%」は日付として認識できません。"
"JP","S209","「%IT_CAPTION%」は数値として認識できません。"
"JP","S210","「%IT_CAPTION%」は整数部%IT_INTEGER%桁以下で入力して下さい。"
"JP","S211","「%IT_CAPTION%」は%IT_REQUIRED%桁以上で入力してください。"
"JP","S214","「%IT_CAPTION%」は%IT_MAX_VAL%より小さくなければなりません。"
"JP","S215","「%IT_CAPTION%」は%IT_MAX_VAL%以下でなければなりません。"
"JP","S216","「%IT_CAPTION%」は%IT_MIN_VAL%より大きくなければなりません。"
"JP","S217","「%IT_CAPTION%」は%IT_MIN_VAL%以上でなければなりません。"
"JP","S218","「%IT_CAPTION%」は%IT_MIN_VAL%より大きく、%IT_MAX_VAL%より小さくなければなりません。"
"JP","S219","「%IT_CAPTION%」は%IT_MIN_VAL%以上、%IT_MAX_VAL%より小さくなければなりません。"
"JP","S220","「%IT_CAPTION%」は%IT_MIN_VAL%より大きく、%IT_MAX_VAL%以下でなければなりません。"
"JP","S221","「%IT_CAPTION%」は%IT_MIN_VAL%以上、%IT_MAX_VAL%以下でなければなりません。"
"JP","S222","「%IT_CAPTION%」に使用できない文字が含まれています。『%1』"
"JP","S301","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_LENGTH%バイト以下で入力して下さい。"
"JP","S302","%LST_ROW_IDX%行目の「%IT_CAPTION%」は小数部%IT_DECIMAL%桁以下で入力して下さい。"
"JP","S303","%LST_ROW_IDX%行目の「%IT_CAPTION%」は必ず入力して下さい。"
"JP","S304","%LST_ROW_IDX%行目の「%IT_CAPTION%」は必ず入力して下さい。（%IT_REQUIRED%桁以上）"
"JP","S305","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%AT_NAME%を入力して下さい。"
"JP","S306","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%AT_NAME%を入力して下さい。（%AT_BIKO%）"
"JP","S307","%LST_ROW_IDX%行目の「%IT_CAPTION%」に入力したコード [%VALUE%] は見つかりませんでした。"
"JP","S308","%LST_ROW_IDX%行目の「%IT_CAPTION%」は日付として認識できません。"
"JP","S309","%LST_ROW_IDX%行目の「%IT_CAPTION%」は数値として認識できません。"
"JP","S310","%LST_ROW_IDX%行目の「%IT_CAPTION%」は整数部%IT_INTEGER%桁以下で入力して下さい。"
"JP","S311","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_REQUIRED%桁以上で入力してください。"
"JP","S314","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MAX_VAL%より小さくなければなりません。"
"JP","S315","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MAX_VAL%以下でなければなりません。"
"JP","S316","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MIN_VAL%より大きくなければなりません。"
"JP","S317","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MIN_VAL%以上でなければなりません。"
"JP","S318","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MIN_VAL%より大きく、%IT_MAX_VAL%より小さくなければなりません。"
"JP","S319","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MIN_VAL%以上、%IT_MAX_VAL%より小さくなければなりません。"
"JP","S320","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MIN_VAL%より大きく、%IT_MAX_VAL%以下でなければなりません。"
"JP","S321","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MIN_VAL%以上、%IT_MAX_VAL%以下でなければなりません。"
